ID;Atividade;Situacao;Inicio;Fim;Duracao;Recurso
1;Task #1;pending;2012-05-06T08:00:00+00:00;2012-05-07T11:27:00+00:00;98820;Rob
1;Task #1;documentation;2012-05-07T11:27:00+00:00;2012-05-07T19:44:00+00:00;29820;Joana
1;Task #1;development;2012-05-07T19:44:00+00:00;2012-05-09T12:30:00+00:00;146760;Bob
1;Task #1;test;2012-05-09T12:30:00+00:00;2012-05-11T07:25:00+00:00;154500;Mary
1;Task #1;finished;2012-05-11T07:25:00+00:00;2012-05-11T08:23:00+00:00;3480;Mary
2;Task #2;pending;2012-05-11T07:25:00+00:00;2012-05-12T05:38:00+00:00;79980;Luke
2;Task #2;documentation;2012-05-12T05:38:00+00:00;2012-05-12T14:56:00+00:00;33480;Mary
2;Task #2;development;2012-05-12T14:56:00+00:00;2012-05-14T08:34:00+00:00;149880;Rob
2;Task #2;test;2012-05-14T08:34:00+00:00;2012-05-16T01:34:00+00:00;147600;Luke
2;Task #2;finished;2012-05-16T01:34:00+00:00;2012-05-16T02:25:00+00:00;3060;Mary
3;Task #3;pending;2012-05-16T01:34:00+00:00;2012-05-16T23:02:00+00:00;77280;Mary
3;Task #3;documentation;2012-05-16T23:02:00+00:00;2012-05-17T05:37:00+00:00;23700;Jonh
3;Task #3;development;2012-05-17T05:37:00+00:00;2012-05-18T20:11:00+00:00;138840;Bob
3;Task #3;test;2012-05-18T20:11:00+00:00;2012-05-20T10:31:00+00:00;138000;Mary
3;Task #3;finished;2012-05-20T10:31:00+00:00;2012-05-20T11:22:00+00:00;3060;Bob
4;Task #4;pending;2012-05-20T10:31:00+00:00;2012-05-21T11:46:00+00:00;90900;Bob
4;Task #4;documentation;2012-05-21T11:46:00+00:00;2012-05-21T18:19:00+00:00;23580;Luke
4;Task #4;development;2012-05-21T18:19:00+00:00;2012-05-23T15:15:00+00:00;161760;Joana
4;Task #4;test;2012-05-23T15:15:00+00:00;2012-05-25T06:04:00+00:00;139740;Rob
4;Task #4;finished;2012-05-25T06:04:00+00:00;2012-05-25T07:05:00+00:00;3660;Mary
5;Task #5;pending;2012-05-25T06:04:00+00:00;2012-05-26T06:41:00+00:00;88620;Luke
5;Task #5;documentation;2012-05-26T06:41:00+00:00;2012-05-26T15:00:00+00:00;29940;Rob
5;Task #5;development;2012-05-26T15:00:00+00:00;2012-05-28T14:57:00+00:00;172620;Bob
5;Task #5;test;2012-05-28T14:57:00+00:00;2012-05-30T08:23:00+00:00;149160;Luke
5;Task #5;finished;2012-05-30T08:23:00+00:00;2012-05-30T09:14:00+00:00;3060;Luke
6;Task #6;pending;2012-05-30T08:23:00+00:00;2012-05-31T09:35:00+00:00;90720;Ashley
6;Task #6;documentation;2012-05-31T09:35:00+00:00;2012-05-31T18:46:00+00:00;33060;Luke
6;Task #6;development;2012-05-31T18:46:00+00:00;2012-06-02T03:40:00+00:00;118440;Marie
6;Task #6;test;2012-06-02T03:40:00+00:00;2012-06-03T14:04:00+00:00;123840;Rob
